"","scientific_name","iucn_name","assessment_id","category","criteria","pop_trend","locations","year_published","latest","gbif_synonyms","iucn_synonyms","lineage","extended_lineage","english_name","accession_number_for_main_haplotype","biosample_accession","geo_location","latlon","biosample_provider","biosample_collectedby","biosample_comment","assembly_comments","sampling_lat","sampling_lon","vague_location_flag","missing_sampling_location_flag","raster_path_ea","raster_path_goode","centroid_lon","centroid_lat","outside_range_flag","missing_range_flag","zoo_flag","domesticated_flag","priority","map_notes","use_coord"
"339","Lagenorhynchus acutus","Lagenorhynchus acutus",219011226,"LC",NA,"Stable","Ireland, United Kingdom, Faroe Islands, Iceland, Russian Federation, Spain, Norway, Netherlands, Portugal, Belgium, France, Sweden, Denmark",2023,TRUE,"Lagenorhynchus acutus; Delphinus leucopleurus; Delphinus acutus; Lagenorhynchus perspicillatus; Electra acuta; Leicopleurus arcticus; Lagenorhynchus gubernator; Delphinus eschrichtii; Leucopleurus arcticus; Lagenorhynchus leucopleurus; Leucopleurus acutus; Lagenodelphis acutus",NA,"Mammals","Mammals","Atlantic white-sided dolphin","GCA_964270905.1","SAMEA114493133","Scotland | Highland | Fort George","57.591787 -4.0381853",NA,"Andrew Brownlow",NA,"The assembly mLagAcu1.hap1.1 is based on 59x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes X and Y were identified based on PacBio read coverage and HiC signal.",57.591787,-4.0381853,FALSE,FALSE,"results/species/Lagenorhynchus_acutus/range_raster.tif","results/species/Lagenorhynchus_acutus/range_raster_goode.tif",-24.2909711672581,55.8640457561892,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"340","Lagenorhynchus albirostris","Lagenorhynchus albirostris",219011385,"LC",NA,"Stable","Russian Federation, United Kingdom, Germany, Iceland, Faroe Islands, Sweden, Belgium, Norway, France, Spain, Ireland, Portugal, Poland, Denmark, Netherlands",2023,TRUE,"Lagenorhynchus albirostris; Delphinus tursio; Delphinus pseudotursio; Delphinus albirostris; Delphinus ibseni; Lagenodelphis albirostris",NA,"Mammals","Mammals","white-beaked dolphin","GCA_949774975.1","SAMEA111380537","Scotland | East Lothian | Morrisons Haven","55.95527778 -3.00694444",NA,"Nick Davison",NA,"The assembly mLagAlb1.1 is based on 33x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The X chromosome was identified based on synteny with Tursiops truncatus (GCF_011762595.1). The order and orientation of contigs in the following regions is uncertain: SUPER_1 94.5 Mb to 110 Mb, SUPER_6 95 Mb to 100.5 Mb, SUPER_8 105.5 Mb to end, SUPER_12 88.5 Mb to 91.5 Mb.",55.95527778,-3.00694444,FALSE,FALSE,"results/species/Lagenorhynchus_albirostris/range_raster.tif","results/species/Lagenorhynchus_albirostris/range_raster_goode.tif",-19.4516164276656,56.8798181157363,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"341","Lagopus muta","Lagopus muta",166187006,"LC",NA,"Stable","Iceland, France, Liechtenstein, European Russia, Finland, Svalbard and Jan Mayen, Switzerland, Slovenia, Russian Federation, Austria, Bulgaria, Spain, Andorra, Greenland, Norway, Italy, Faroe Islands, Sweden, United Kingdom, Germany",2021,TRUE,"Lagopus mutus; Lagopus vulgaris; Tetrao mutus; Lagopus muta","Lagopus mutus","Birds","Birds","rock ptarmigan","GCA_023343835.1","SAMN25144835","Iceland: Husavik, NE","66.088900 N 17.264700 W","Icelandic Institute of Natural History","Kristinn P. Magnusson","The Rock ptarmigan is a bird species belonging to the Phasianidae family. The species has a circumpolar distribution inhabiting sub-arctic and arctic regions in addition to a few more southern alpine regions. This sample is being included in the Vertebrate Genomes Project. The sample was collected by Kristinn P. Magnusson who also provided the finances for the project through his Icelandic Research Fund grant 206529-052, together with Jacob Hoglund with grant VR 2018-04635. The genome was assembled and scaffolded by Patrik Rodin-Morch with support from Ignas Bunikis and Giulio Formenti. Curation was performed by Alan Tracey at the Welcome Sanger Institute.",NA,66.0889,-17.2647,FALSE,FALSE,"results/species/Lagopus_muta/range_raster.tif","results/species/Lagopus_muta/range_raster_goode.tif",12.7674772475123,61.3030771167693,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"342","Lampetra fluviatilis","Lampetra fluviatilis",135088436,"NT","A2ce","Decreasing","Czechia, Ukraine, Estonia, Russian Federation, Sweden, Norway, Latvia, United Kingdom, Finland, France, Ireland, Lithuania, Belgium, Poland, Netherlands, Belarus, Germany, Portugal, Denmark, Luxembourg, France (mainland), Portugal (mainland), Great Britain, Northern Ireland, European Russia, Kaliningrad, Liechtenstein, Slovakia, Spain, Spain (mainland), Switzerland, Ukraine (main part), Central European Russia, North European Russia, Northwest European Russia, Italy, Italy (mainland)",2024,TRUE,"Lampetra fluviatilis; Petromyzon sanguisuga; Lampetra fluviatilis ladogensis; Lampetra fluviatilis typica; Petromyzon macrops; Petromyzon omalii; Petromyzon spec; Petromyzon argenteus; Petromyzon fluviatilis major; Petromyzon branchialis; Petromyzon jurae; Lampetra fluviatilis praecox; Petromyzon fluviatilis; Lampetra opisthodon; Petromyzon pricka; Ammocoetes communis","Petromyzon jurae, Petromyzon argenteus, Petromyzon branchialis, Ammocoetes communis, Petromyzon omalii, Lampetra opisthodon, Lampetra fluviatilis, Petromyzon sanguisuga, Lampetra (Lampetra) fluviatilis, Petromyzon fluviatilis","Fishes","Cyclostomes","European river lamprey","GCA_964198595.1","SAMEA111528664","Scotland | Loch Lomond region | Endrick Water","56.04908 -4.43645",NA,"A Jacobs",NA,"The assembly kcLamFluv1.1 is based on 36x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",56.04908,-4.43645,FALSE,FALSE,"results/species/Lampetra_fluviatilis/range_raster.tif","results/species/Lampetra_fluviatilis/range_raster_goode.tif",15.5286952188985,55.1405141972735,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"343","Lampris incognitus","Lampris incognitus",NA,"NE",NA,NA,NA,NA,NA,"Lampris incognitus",NA,"Fishes","Ray-finned fishes","smalleye Pacific opah","GCA_029633865.1","SAMN34060140","USA: Pacific, San Diego Coast","32.650833 N 117.533611 W","NOAA fisheries","Nick Wegner","The smalleye Pacific opah (Lampris incognitus) is a fish species endemic to central and northeast Pacific, and is one of five subspecies of Lampris guttatus. This sample from the Pacific Ocean, along the coast of San Diego, was collected by Nick Wegner of NOAA fisheries in San Diego CA, and coordinated by Lisa Komoroske and Byrappa Venkatesh to be used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis, with funding support from Jarvis.",NA,32.650833,-117.533611,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"344","Larus argentatus","Larus argentatus",206585142,"LC",NA,"Decreasing","Moldova, Luxembourg, Italy, European Russia, Poland, Gibraltar, Serbia, Malta, Finland, Germany, Ireland, Slovakia, Netherlands, Romania, Egypt, Morocco, Croatia, Belarus, Latvia, North Macedonia, Svalbard and Jan Mayen, Cyprus, Portugal, Kazakhstan, Albania, Spain, Greece, Iceland, Austria, Bulgaria, Hungary, Sweden, Denmark, United Kingdom, France, Israel, Switzerland, Faroe Islands, Belgium, Greenland, Lithuania, Norway, Russian Federation, Montenegro, Estonia, Ukraine, Czechia",2021,TRUE,"Larus argentatus",NA,"Birds","Birds","herring gull","GCA_964417175.1","SAMEA115168456","Oslo | Oslo | Vaterland","59.9131 10.758",NA,"Morten Helberg",NA,"The assembly bLarArg3.hap1.1 is based on 75x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The Z and W sex chromosomes were identified by read coverage. The found karyotype is 33+ZW, as one known microchromosome couldn't be found.",59.9131,10.758,FALSE,FALSE,"results/species/Larus_argentatus/range_raster.tif","results/species/Larus_argentatus/range_raster_goode.tif",10.7459804916969,57.443946411061,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"345","Larus fuscus","Larus fuscus",166275319,"LC",NA,"Increasing","Croatia, Ukraine, Austria, Bosnia and Herzegovina, Bulgaria, Svalbard and Jan Mayen, Italy, Cyprus, Malta, Faroe Islands, Slovenia, Greenland, European Russia, Spain, Luxembourg, Latvia, Poland, Norway, Russian Federation, Gibraltar, Germany, Finland, Montenegro, Slovakia, Albania, United Kingdom, Georgia, Belgium, Iceland, Ireland, Romania, Estonia, Netherlands, Belarus, North Macedonia, Lithuania, Switzerland, Czechia, Sweden, Portugal, Denmark, Hungary, Serbia, France, Türkiye, Greece",2021,TRUE,"Larus fuscus",NA,"Birds","Birds","lesser black-backed gull","GCA_963932225.1","SAMEA112468039","England|Gloucester|Newgounds","51.73 -2.4",NA,"MICHELLE O'BRIEN",NA,"The assembly bLarFus1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Z chromosome identified based on alignment with chicken (GCF_016699485.2).",51.73,-2.4,FALSE,FALSE,"results/species/Larus_fuscus/range_raster.tif","results/species/Larus_fuscus/range_raster_goode.tif",44.0673203814775,35.5222278228028,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"346","Larus michahellis","Larus michahellis",166458471,"LC",NA,"Unknown","Ireland, Serbia, Greece, Belarus, Slovakia, Austria, Hungary, Türkiye, Finland, Slovenia, Belgium, Italy, Armenia, Spain, Montenegro, Russian Federation, Denmark, France, Poland, Sweden, Netherlands, Liechtenstein, Germany, Portugal, Gibraltar, Azores, Cyprus, United Kingdom, Czechia, Switzerland, Croatia, Bosnia and Herzegovina, European Russia, North Macedonia, Canary Is., Malta, Georgia, Albania",2021,TRUE,"Larus cachinnans michahellis; Larus michaellis; Larus michahelles; Larus argentatus michaellis; Larus michahellis",NA,"Birds","Birds","yellow-legged gull","GCA_964199755.1","SAMEA114211328","Bern | 3006 | Kasthoferstrasse 40","46.94177724 7.47155206",NA,"DAVID ALEXANDER MARQUES",NA,"The assembly bLarMic1.1 is based on 68x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were identified using read coverage.",46.94177724,7.47155206,FALSE,FALSE,"results/species/Larus_michahellis/range_raster.tif","results/species/Larus_michahellis/range_raster_goode.tif",6.29557774807026,40.1170739000309,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"347","Lathamus discolor","Lathamus discolor",130886700,"CR","A3ce","Decreasing","Australia",2018,TRUE,"Psittacus discolor; Lathamus discolor",NA,"Birds","Birds","swift parrot","GCA_037157495.1","SAMN40289871","Australia: North Bruny, Tasmania","43.164424 S 147.319128 E","University of Copenhagen: Hernan Morales","Manuel Schweizer","The swift parrot (Lathamus discolor) is a species of broad-tailed parrot, found only in southeastern Australia. The species breeds in Tasmania during the summer and migrates north to south eastern mainland Australia from Griffith-Warialda in New South Wales and west to Adelaide in the winter. It is a nomadic migrant, and it settles in an area only when there is food available. The species is critically endangered, and the severe predation of introduced sugar gliders (Petaurus breviceps) on breeding females and nests in some locations has demonstrated an unexpected but potentially serious new threat (from Wikipedia entry). This sample of a female adult individual found in North Bruny, Tasmania, Australia, was procured by Manuel Schweizer, Tom Gilbert, and Hernan Morales to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,-43.164424,147.319128,FALSE,FALSE,"results/species/Lathamus_discolor/range_raster.tif","results/species/Lathamus_discolor/range_raster_goode.tif",147.638385400137,-34.5015436117279,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"348","Latimeria chalumnae","Latimeria chalumnae",3274618,"CR","A2bcd","Unknown","Indonesia, Comoros, South Africa",2000,TRUE,"Malania anjouanae; Latemaria chalumnae; Latimeria chalumnae",NA,"Fishes","Lobe-finned fishes","African coelacanth","GCA_037176945.1","SAMN39710040","Comoros: Grande Comore Island, Africa","11.583333 S 43.333333 E","University of California, Merced: Chris Amemiya","Ahamada Said","The African coelacanth (Latimeria chalumnae) is a lobe-finned fish or crossopterygian, one of two extant species of coelacanth, a rare order of vertebrates more closely related to lungfish and tetrapods than to the common ray-finned fishes. The African coelacanth was believed to have been extinct over 65 million years ago, but was rediscovered off the coast of South Africa in 1938. (from Wikipedia and NOAA fisheries entries). This sample of an individual found on the Comoros Islands was procured by Ahamada Said and Chris Amemiya, and used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Olivier Fedrigo, Giulio Formenti, and Jennifer Balacco.","Hi-C data was from different individual, fLatCha2, used to generate the Pacbio HiFi long read data, fLatCha1. Thus we used Hi-C for scaffolding the primary haplotype, but could not use it for phasing each haplotype equally",-11.583333,43.333333,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"349","Lemur catta","Lemur catta",115565760,"EN","A4cd","Decreasing","Madagascar",2020,TRUE,"Lemur catta; Maki mococo",NA,"Mammals","Mammals","ring-tailed lemur","GCA_020740605.1","SAMN12621102","Denmark: Copenhagen Zoo","55.67278 N 12.52139 E","Copenhagen Zoo, Denmark","Mads Bertelsen","The ring-tailed lemur (Lemur cata) is primate that like other lemurs is endemic to Madagascar. It is recognized by the stripped black and white ring circles on its tail. They have been studied for the communication and cognitive abilities. They are the most popular lemurs in zoos worldwide. They are currently endangered in the wild (IUCN red list). This sample was collected by Mads Bertelsen from a male that lived at the Copenhagen Zoo in Denmark, procured by Tom Gilbert, and supported by Tomas Marques-Bonet at the Universitat Pompeu Fabra, Barcelona, for primate evolution investigations, to generate a chromosome level reference assembly as part of the G10K-VGP Project.",NA,55.67278,12.52139,FALSE,FALSE,"results/species/Lemur_catta/range_raster.tif","results/species/Lemur_catta/range_raster_goode.tif",44.7640246609324,-23.1351646282634,TRUE,FALSE,TRUE,FALSE,6,NA,"sampling"
"350","Lepidochelys kempii","Lepidochelys kempii",155057916,"CR","A2bd","Unknown","Virginia, Texas, South Carolina, Rhode Island, North Carolina, New Jersey, New Hampshire, Mississippi, Massachusetts, Maryland, Tabasco, Bermuda, Campeche, Mexico, United Kingdom, Portugal (mainland), Madeira, Azores, Portugal, Ireland, France (mainland), France, Tamaulipas, Veracruz, Yucatán, Canada, United States, Alabama, Connecticut, Delaware, Florida, Georgia, Louisiana, Maine",2019,TRUE,"Lepidochelys kempii; Lepidochelys kempi error; Chelonia dussumierii; Thalassochelys kempii; Testudo viridi squamosa; Testudo bomarii; Testudo viridisquamosa; Caretta kempi; Lepidochelys olivacea kempii; Testudo mydas minor; Testudo mynas minor","Thalassochelys kempii, Lepidochelys kempi","Reptiles","Turtles","Kemp's ridley sea turtle","GCA_965140285.1","SAMN46282779","USA: Quincy, Massachusetts","42.243 N 70.975 W","University of Massachussetts Amherst: Lisa Komoroske","Jamie Stoll, Lisa Komoroske","Kemp's ridley sea turtle (Lepidochelys kempii), also called commonly the Atlantic ridley sea turtle, Kemp's ridley turtle, and Kemp's ridley, is a species of turtle in the family Cheloniidae. L. kempii is the rarest species of sea turtle and is the world's most endangered species of sea turtle. The species L. kempii primarily occupies habitat around the Gulf of Mexico, though its migrations into the Atlantic Ocean are being affected by rising temperatures (from Wikipedia entry). This sample from a juvenile collected by Jamie Stoll and Lisa Komoroske from the New England Aquarium in Quincy, Massachusetts and was coordinated by Camila Mazzoni and Lisa Komoroske to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing was conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,42.243,-70.975,FALSE,FALSE,"results/species/Lepidochelys_kempii/range_raster.tif","results/species/Lepidochelys_kempii/range_raster_goode.tif",-46.648597316785,36.6206667361711,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"351","Lepidochelys olivacea","Lepidochelys olivacea",3292503,"VU","A2bd","Decreasing","Chile, Ghana, Panama, Cameroon, Papua New Guinea, Colombia, Sri Lanka, Peru, Costa Rica, Gambia, Guinea, Pakistan, Guadeloupe, Equatorial Guinea, Philippines, Guatemala, Nicobar Is., Congo, Côte d'Ivoire, Suriname, Guinea-Bissau, Somalia, Guyana, Senegal, Sierra Leone, Cuba, Cabo Verde, Andaman Is., Sudan, Kenya, Benin, Cambodia, Micronesia, Federated States of , Venezuela (mainland), Martinique, Mauritania, Yemen, Iran, Islamic Republic of, Myanmar, Australia, India, Malaysia, Mozambique, Mexico, United States, Maldives, South Africa, Honduras, Ecuador, Viet Nam, Liberia, Madagascar, Venezuela, Bolivarian Republic of, Dominican Republic, Sâo Tomé, Indonesia, Uruguay, Hawaiian Is., Morocco, Nigeria, Nicaragua, Antigua and Barbuda, Puerto Rico, Eritrea, Namibia, Tanzania, United Republic of, Angola, Trinidad and Tobago, Taiwan, Province of China, Venezuelan Antilles, Japan, Togo, French Guiana, Jamaica, Brazil, Gabon, Thailand, Oman, El Salvador, Sao Tome and Principe, Bangladesh, Brunei Darussalam, Bioko",2008,TRUE,"Lepidochelys olivacea; Lepidochelys olivacea remivaga; Caretta caretta olivacea; Thalssochelys olivacea; Caretta olivacea; Chelonia dussumierii; Thalassochelys tarapacona; Caretta remivaga; Lepidochelys dussumierii; Caouana dessumierii; Caouana ruppelli; Chelonia olivacea; Caouana olivacea; Chelonia subcarinata","Chelonia olivacea","Reptiles","Turtles","Pacific ridley","GCA_965140295.1","SAMN46283035","USA: San Diego, California","32.7668 N 117.2251 W","NOAA Fisheries, Southwest Fisheries Science Center: Erin LaCasella","Sea World San Diego","The olive ridley sea turtle (Lepidochelys olivacea), also known commonly as the Pacific ridley sea turtle, is a species of turtle in the family Cheloniidae. The species is the second-smallest and most abundant of all sea turtles found in the world. L. olivacea is found in warm and tropical waters, primarily in the Pacific and Indian Oceans, but also in the warm waters of the Atlantic Ocean (from Wikipedia entry). This sample of a female individual was procured from Sea World San Diego by Erin LaCasella of NOAA Fisheries, Southwest Fisheries Science Center and coordinated by Camila Mazzoni and Lisa Komoroske to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing was conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,32.7668,-117.2251,FALSE,FALSE,"results/species/Lepidochelys_olivacea/range_raster.tif","results/species/Lepidochelys_olivacea/range_raster_goode.tif",40.2463113647482,1.67499202936064,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"352","Lepidogalaxias salamandroides","Lepidogalaxias salamandroides",123378147,"EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)","Decreasing","Western Australia, Australia",2019,TRUE,"Lepidogalaxias salamandroides",NA,"Fishes","Ray-finned fishes","salamanderfish","GCA_049190665.1","SAMN47481373","Australia: Western Australia","34.809718 S 116.531926 E","Yale Peabody Museum: Thomas Near, Gregory Watkins-Colwell","Peter Unmack","Lepidogalaxias salamandroides (salamanderfish) is a species of small freshwater fish of Western Australia. Although it is not a lungfish, it resembles lungfish in several respects, including its ability to survive dry seasons by burrowing into the sand. It is on the IUCN Red List as Endangered (from Wikipedia entry). This sample of a male individual found in Western Australia by Peter Unmack was procured by Gregory Watkins-Colwell and Thomas Near to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,-34.809718,116.531926,FALSE,FALSE,"results/species/Lepidogalaxias_salamandroides/range_raster.tif","results/species/Lepidogalaxias_salamandroides/range_raster_goode.tif",116.347993207792,-34.7299821177598,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"353","Lepisosteus oculatus","Lepisosteus oculatus",1967019,"LC",NA,"Stable","United States, Louisiana, Texas, Pennsylvania, Mississippi, Alabama, Tennessee, Oklahoma, Ohio, New Mexico, Missouri, Michigan, Georgia, Florida, Arkansas, Illinois, Indiana, Kansas, Kentucky, Ontario, Canada, Mexico, Tamaulipas, Nuevo León",2019,TRUE,"Lepisosteus oculatus; Lepidosteus oculatus; Cylindrosteus agassizii; Cylindrosteus productus; Lepisosteus productus; Cylindrosteus agassiz; Cylindostreus productus; Lepisosteus latirostris",NA,"Fishes","Ray-finned fishes","spotted gar","GCA_040954835.1","SAMN41155427","USA: Vacherie, Louisiana","29.929889 N 90.747444 W","Michigan State University: Ingo Braasch","Ingo Braasch, Allyse Ferrara","The spotted gar (Lepisosteus oculatus) is a freshwater fish native to North America. Its current range is from southern Ontario to the west from the Devils River in Texas east to the northern coast of the Gulf of Mexico and southeast to the lower Apalachicola River in Florida (from Wikipedia entry). This sample of a male individual found in Louisiana, United States was procured by Ingo Braasch and Allyse Ferrara to generate a high-quality reference genome data for the Vertebrate Genomes Project (VGP). Sequencing was conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,29.929889,-90.747444,FALSE,FALSE,"results/species/Lepisosteus_oculatus/range_raster.tif","results/species/Lepisosteus_oculatus/range_raster_goode.tif",-87.1706045484381,39.2973508137293,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"354","Leptodactylus fuscus","Leptodactylus fuscus",3055788,"LC",NA,"Stable","Suriname, Panama, Paraguay, Trinidad and Tobago, Guyana, Colombia, Bolivia, Plurinational States of, Brazil, French Guiana, Argentina, Venezuela, Bolivarian Republic of, Peru, São Paulo, Tocantins, Ceará, Maranhão, Pernambuco, Mato Grosso, Mato Grosso do Sul, Rio Grande do Norte, Brasília Distrito Federal, Goiás, Sergipe, Santa Catarina, Rio de Janeiro, Acre, Rio Grande do Sul, Alagoas, Espírito Santo, Minas Gerais, Roraima, Piauí, Rondônia, Pará, Amazonas, Paraná, Bahia",2023,TRUE,"Leptodactylus sibilator; Leptodactylus sybilator; Cystignathus schomburgkii; Leptodactylus gualambensis; Leptodactylus sybilatrix; Leptodactylus raniformis; Rana sibilatrix; Rana fusca; Cystignathus fuscus; Cystignathus sibilatrix; Leptodactylus sibilatrix; Leptodactylus fuscus",NA,"Amphibians","Amphibians","rufous frog","GCA_031893055.1","SAMN37055805","Colombia: Bogota","4.60064 N 74.06604 W","Andrew Crawford: Universidad de los Andes","Melissa Hernandez","the rufous frog (Leptodactylus fuscus) is in the Leptodactylidae family, and is found throughout South America, in subtropical or tropical dry forests. Its local names are rana picuda (""woodcock frog"") and rana silbador (""whistling frog""). This sample is from a male located in Bogota Colombia, collected by Melissa Hernandez, coordinated by Andrew Crawford, and used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis.",NA,4.60064,-74.06604,FALSE,FALSE,"results/species/Leptodactylus_fuscus/range_raster.tif","results/species/Leptodactylus_fuscus/range_raster_goode.tif",-56.7247113218658,-9.01542656055812,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
